year,quarter,region,sales_target,actual_sales,variance_pct,kpi_status,clearance_level
2024,Q1,Central,2060198,2378635,15.46,EXCEEDED,1
2024,Q1,APAC,924077,988515,6.97,EXCEEDED,1
2024,Q1,EMEA,1140232,1220508,7.04,EXCEEDED,1
2024,Q2,East,2026108,2234619,10.29,EXCEEDED,1
2024,Q2,West,2244194,2041952,-9.01,UNDER_PERFORMED,1
2024,Q2,North,1515514,1446315,-4.57,MET,1
2024,Q2,South,1851527,1391469,-24.85,UNDER_PERFORMED,1
2024,Q2,Central,2414336,2804615,16.17,EXCEEDED,1
2024,Q2,APAC,1452366,1752696,20.68,EXCEEDED,1
2024,Q2,EMEA,2497950,2083206,-16.6,UNDER_PERFORMED,1
2024,Q3,East,1123159,1301902,15.91,EXCEEDED,2
2024,Q3,West,1525884,1748029,14.56,EXCEEDED,2
2024,Q3,North,1964646,2035797,3.62,MET,2
2024,Q3,South,1220527,1129890,-7.43,UNDER_PERFORMED,2
2024,Q3,Central,1238792,1243137,0.35,MET,2
2024,Q3,APAC,2012232,2377838,18.17,EXCEEDED,2
2024,Q3,EMEA,2156077,1945543,-9.76,UNDER_PERFORMED,2
2024,Q4,East,940845,755101,-19.74,UNDER_PERFORMED,2
2024,Q4,West,1661225,1932003,16.3,EXCEEDED,2
2024,Q4,North,1544903,1332544,-13.75,UNDER_PERFORMED,2
2024,Q4,South,1405144,1633711,16.27,EXCEEDED,2
2024,Q4,Central,1065165,841754,-20.97,UNDER_PERFORMED,2
2024,Q4,APAC,1919195,2175466,13.35,EXCEEDED,2
2024,Q4,EMEA,2495098,2496025,0.04,MET,2
