asset_id,category,item_name,quantity,unit_cost_usd,total_value_usd,location,status,last_audit_date,assigned_dept,clearance_level
AST-5075,Peripherals,Peripherals Model Lite-226,341,8581.3,2926222.34,SF Office,DECOMMISSIONED,2024-11-20,Marketing,1
AST-5076,Monitors,Monitors Model B-689,408,12456.75,5082352.0,Mumbai Office,IN_USE,2024-11-25,Legal,1
AST-5077,Office Supplies,Office Supplies Model Lite-842,467,12918.21,6032802.94,Singapore DC,DECOMMISSIONED,2024-08-11,Operations,1
AST-5078,Network Equipment,Network Equipment Model A-214,133,2095.68,278725.98,NYC HQ,AVAILABLE,2024-10-30,Operations,1
AST-5079,Monitors,Monitors Model C-489,294,6628.75,1948852.62,Mumbai Office,IN_USE,2024-06-08,Engineering,1
AST-5080,Data Center Assets,Data Center Assets Model X-533,275,3429.59,943137.33,London Office,AVAILABLE,2024-12-13,HR,1
AST-5081,Security Hardware,Security Hardware Model B-209,340,10835.09,3683931.7,Singapore DC,IN_USE,2024-10-02,Marketing,1
AST-5082,Software Licenses,Software Licenses Model C-957,75,14693.42,1102006.58,SF Office,MAINTENANCE,2024-12-14,Marketing,1
AST-5083,Servers,Servers Model Lite-781,308,5111.82,1574440.55,NYC HQ,DECOMMISSIONED,2024-06-12,Sales,1
AST-5084,Security Hardware,Security Hardware Model Lite-687,353,2235.5,789131.59,Singapore DC,IN_USE,2024-09-10,Sales,1
AST-5085,Office Supplies,Office Supplies Model C-256,31,17660.85,547486.45,SF Office,IN_USE,2024-12-24,Engineering,1
AST-5086,Servers,Servers Model X-406,439,8782.77,3855636.54,SF Office,IN_USE,2024-10-07,IT,1
AST-5087,Software Licenses,Software Licenses Model C-875,217,12207.01,2648920.71,Singapore DC,MAINTENANCE,2024-02-06,Compliance,1
AST-5088,Peripherals,Peripherals Model B-817,145,12539.33,1818202.57,Mumbai Office,MAINTENANCE,2024-02-19,HR,1
AST-5089,Software Licenses,Software Licenses Model A-970,386,14246.13,5499004.33,London Office,MAINTENANCE,2024-12-01,HR,1
AST-5090,Data Center Assets,Data Center Assets Model X-398,71,7962.28,565321.81,SF Office,IN_USE,2024-04-21,Operations,1
AST-5091,Laptops,Laptops Model Pro-204,186,13071.35,2431270.33,SF Office,MAINTENANCE,2024-08-06,HR,1
AST-5092,Laptops,Laptops Model X-283,50,6410.18,320508.78,NYC HQ,IN_USE,2024-09-20,Legal,1
AST-5093,Data Center Assets,Data Center Assets Model Lite-839,223,17455.54,3892585.33,Singapore DC,IN_USE,2024-01-18,Finance,1
AST-5094,Network Equipment,Network Equipment Model Lite-710,204,8802.94,1795799.09,SF Office,MAINTENANCE,2024-12-20,Finance,1
AST-5095,Mobile Devices,Mobile Devices Model X-381,443,14730.24,6525496.25,Singapore DC,AVAILABLE,2024-01-06,Finance,1
AST-5096,Monitors,Monitors Model Lite-784,43,2210.1,95034.19,Mumbai Office,IN_USE,2024-01-12,Executive,1
AST-5097,Data Center Assets,Data Center Assets Model Lite-863,294,8638.78,2539800.77,NYC HQ,DECOMMISSIONED,2024-04-02,IT,1
AST-5098,Mobile Devices,Mobile Devices Model C-685,331,12653.72,4188382.86,SF Office,IN_USE,2024-06-15,Finance,1
AST-5099,Security Hardware,Security Hardware Model Lite-120,95,7304.87,693962.58,Singapore DC,DECOMMISSIONED,2024-10-01,Compliance,1
AST-5100,Mobile Devices,Mobile Devices Model Pro-651,33,9347.44,308465.41,NYC HQ,IN_USE,2024-12-03,Finance,1
AST-5101,Servers,Servers Model B-105,442,10789.86,4769118.29,Mumbai Office,MAINTENANCE,2024-06-09,Finance,1
AST-5102,Laptops,Laptops Model Lite-265,66,10357.83,683616.93,NYC HQ,DECOMMISSIONED,2024-05-11,Engineering,1
AST-5103,Monitors,Monitors Model C-657,64,9118.08,583556.95,SF Office,MAINTENANCE,2024-12-02,Engineering,1
AST-5104,Network Equipment,Network Equipment Model Pro-901,154,845.3,130176.24,London Office,DECOMMISSIONED,2024-08-15,HR,1
AST-5105,Data Center Assets,Data Center Assets Model Pro-460,252,12516.4,3154132.9,Mumbai Office,DECOMMISSIONED,2024-09-18,Operations,1
AST-5106,Monitors,Monitors Model B-137,340,14758.44,5017870.58,SF Office,IN_USE,2024-06-02,Operations,1
AST-5107,Servers,Servers Model Pro-467,309,9943.99,3072692.98,London Office,IN_USE,2024-11-14,IT,1
AST-5108,Monitors,Monitors Model X-765,282,4600.59,1297365.86,SF Office,MAINTENANCE,2024-08-21,Finance,1
AST-5109,Peripherals,Peripherals Model Lite-246,347,7664.8,2659685.74,Mumbai Office,IN_USE,2024-02-06,Sales,1
AST-5110,Network Equipment,Network Equipment Model Lite-763,366,6707.98,2455120.14,Mumbai Office,DECOMMISSIONED,2024-03-24,IT,1
AST-5111,Servers,Servers Model X-488,162,17864.2,2893999.61,NYC HQ,DECOMMISSIONED,2024-05-06,Finance,1
AST-5112,Peripherals,Peripherals Model Lite-661,64,9573.49,612703.42,Singapore DC,IN_USE,2024-06-17,Finance,1
AST-5113,Software Licenses,Software Licenses Model C-249,466,6013.31,2802202.23,SF Office,AVAILABLE,2024-01-06,Finance,1
AST-5114,Office Supplies,Office Supplies Model A-901,497,4011.73,1993828.28,NYC HQ,IN_USE,2024-09-26,Sales,1
AST-5115,Data Center Assets,Data Center Assets Model A-641,421,14525.26,6115136.55,London Office,DECOMMISSIONED,2024-05-24,Compliance,1
AST-5116,Peripherals,Peripherals Model A-274,312,1796.7,560571.88,London Office,MAINTENANCE,2024-04-02,Legal,1
AST-5117,Security Hardware,Security Hardware Model X-588,283,10709.19,3030699.74,Mumbai Office,IN_USE,2024-05-12,Engineering,1
AST-5118,Security Hardware,Security Hardware Model B-246,366,2811.51,1029012.92,Singapore DC,DECOMMISSIONED,2024-05-16,Engineering,1
AST-5119,Software Licenses,Software Licenses Model Lite-723,363,13998.84,5081580.36,Singapore DC,MAINTENANCE,2024-04-03,Marketing,1
AST-5120,Software Licenses,Software Licenses Model C-382,409,8443.95,3453577.5,Singapore DC,DECOMMISSIONED,2024-04-27,Sales,1
AST-5121,Monitors,Monitors Model C-965,486,5512.32,2678988.55,NYC HQ,IN_USE,2024-02-09,Operations,1
AST-5122,Monitors,Monitors Model A-861,85,10362.07,880776.02,London Office,DECOMMISSIONED,2024-09-09,Engineering,1
AST-5123,Office Supplies,Office Supplies Model Lite-239,347,9163.65,3179787.34,Singapore DC,MAINTENANCE,2024-09-20,Compliance,1
AST-5124,Monitors,Monitors Model B-951,208,265.0,55119.21,NYC HQ,MAINTENANCE,2024-12-25,Compliance,1
AST-5125,Software Licenses,Software Licenses Model Lite-943,126,17896.08,2254906.29,Mumbai Office,DECOMMISSIONED,2024-01-22,Executive,1
AST-5126,Mobile Devices,Mobile Devices Model Pro-330,494,3046.05,1504750.74,SF Office,IN_USE,2024-07-06,HR,1
AST-5127,Security Hardware,Security Hardware Model X-607,181,17145.42,3103320.58,Singapore DC,IN_USE,2024-07-10,Finance,1
AST-5128,Software Licenses,Software Licenses Model Pro-971,468,12227.95,5722681.15,NYC HQ,AVAILABLE,2024-06-02,Marketing,1
AST-5129,Peripherals,Peripherals Model Lite-746,136,3846.99,523190.78,Mumbai Office,MAINTENANCE,2024-04-21,Sales,1
AST-5130,Security Hardware,Security Hardware Model X-732,423,16083.12,6803159.83,Singapore DC,IN_USE,2024-07-01,Engineering,1
AST-5131,Data Center Assets,Data Center Assets Model C-209,236,5924.0,1398064.98,NYC HQ,AVAILABLE,2024-04-05,IT,1
AST-5132,Software Licenses,Software Licenses Model X-302,5,1837.56,9187.8,NYC HQ,DECOMMISSIONED,2024-09-20,HR,1
AST-5133,Office Supplies,Office Supplies Model A-259,64,16437.27,1051985.11,London Office,IN_USE,2024-08-28,IT,1
AST-5134,Software Licenses,Software Licenses Model B-649,154,6570.46,1011850.09,London Office,IN_USE,2024-08-12,Marketing,1
AST-5135,Servers,Servers Model X-105,72,6376.97,459142.12,London Office,IN_USE,2024-02-26,Operations,1
AST-5136,Peripherals,Peripherals Model X-861,21,2419.24,50804.06,London Office,IN_USE,2024-03-23,Operations,1
AST-5137,Mobile Devices,Mobile Devices Model C-221,492,11979.39,5893861.59,Singapore DC,MAINTENANCE,2024-10-08,Marketing,1
AST-5138,Servers,Servers Model X-613,167,13523.35,2258399.78,Singapore DC,IN_USE,2024-02-26,Finance,1
AST-5139,Laptops,Laptops Model Pro-113,65,2812.42,182807.47,SF Office,IN_USE,2024-12-13,Legal,1
AST-5140,Office Supplies,Office Supplies Model A-544,500,10753.61,5376803.25,Singapore DC,AVAILABLE,2024-05-24,Marketing,1
AST-5141,Monitors,Monitors Model Pro-256,390,7729.7,3014583.22,Mumbai Office,IN_USE,2024-05-07,Sales,1
AST-5142,Monitors,Monitors Model Lite-353,443,4754.6,2106287.89,Singapore DC,IN_USE,2024-08-30,Finance,1
AST-5143,Security Hardware,Security Hardware Model Pro-744,313,3273.67,1024658.92,SF Office,IN_USE,2024-03-02,HR,1
AST-5144,Office Supplies,Office Supplies Model B-249,20,4940.4,98808.03,Singapore DC,IN_USE,2024-11-11,Operations,1
AST-5145,Monitors,Monitors Model X-637,443,931.43,412624.49,London Office,IN_USE,2024-04-23,Legal,1
AST-5146,Office Supplies,Office Supplies Model X-759,246,1118.37,275120.2,NYC HQ,AVAILABLE,2024-02-26,Sales,1
AST-5147,Software Licenses,Software Licenses Model Lite-528,144,16974.83,2444375.88,SF Office,AVAILABLE,2024-01-25,HR,1
AST-5148,Laptops,Laptops Model Lite-429,1,952.57,952.57,SF Office,AVAILABLE,2024-08-29,Sales,1
AST-5149,Data Center Assets,Data Center Assets Model C-603,52,7764.87,403773.34,London Office,AVAILABLE,2024-06-04,Finance,1
AST-5150,Monitors,Monitors Model Pro-888,343,260.7,89421.33,SF Office,AVAILABLE,2024-07-03,Legal,1
AST-5151,Data Center Assets,Data Center Assets Model B-765,271,10890.78,2951400.79,London Office,IN_USE,2024-10-26,IT,1
AST-5152,Monitors,Monitors Model Lite-860,455,1927.98,877232.65,Mumbai Office,IN_USE,2024-01-22,Executive,1
AST-5153,Network Equipment,Network Equipment Model A-176,99,12688.31,1256142.8,Mumbai Office,DECOMMISSIONED,2024-06-24,Sales,1
AST-5154,Mobile Devices,Mobile Devices Model Lite-257,390,3647.95,1422702.11,NYC HQ,IN_USE,2024-04-08,IT,1
AST-5155,Security Hardware,Security Hardware Model Pro-455,365,4556.67,1663185.01,London Office,MAINTENANCE,2024-11-18,Finance,1
AST-5156,Office Supplies,Office Supplies Model Pro-615,35,8698.53,304448.51,NYC HQ,IN_USE,2024-11-02,Sales,1
AST-5157,Servers,Servers Model Pro-162,149,832.33,124017.53,SF Office,MAINTENANCE,2024-09-10,Compliance,1
AST-5158,Security Hardware,Security Hardware Model X-868,498,1363.61,679080.13,Mumbai Office,MAINTENANCE,2024-10-14,IT,1
AST-5159,Office Supplies,Office Supplies Model B-103,311,4897.82,1523222.95,SF Office,DECOMMISSIONED,2024-04-21,Executive,1
AST-5160,Laptops,Laptops Model Pro-566,451,16716.36,7539079.28,Mumbai Office,DECOMMISSIONED,2024-05-12,Sales,1
AST-5161,Network Equipment,Network Equipment Model Pro-221,152,12752.96,1938450.05,SF Office,IN_USE,2024-01-24,Compliance,1
AST-5162,Network Equipment,Network Equipment Model B-384,150,718.05,107706.87,SF Office,AVAILABLE,2024-01-27,Operations,1
AST-5163,Network Equipment,Network Equipment Model Lite-455,274,2104.58,576656.1,Mumbai Office,AVAILABLE,2024-06-15,Finance,1
AST-5164,Security Hardware,Security Hardware Model X-726,136,13001.6,1768217.8,London Office,AVAILABLE,2024-01-30,Engineering,1
AST-5165,Software Licenses,Software Licenses Model C-280,113,13152.62,1486246.4,London Office,IN_USE,2024-10-02,Executive,1
AST-5166,Monitors,Monitors Model X-769,370,13427.67,4968237.77,London Office,DECOMMISSIONED,2024-10-09,Operations,1
AST-5167,Mobile Devices,Mobile Devices Model B-695,113,5846.87,660696.38,Singapore DC,IN_USE,2024-08-16,Operations,1
AST-5168,Office Supplies,Office Supplies Model X-195,189,2682.79,507047.39,Singapore DC,IN_USE,2024-08-23,HR,1
AST-5169,Servers,Servers Model Lite-284,97,10260.3,995248.99,London Office,IN_USE,2024-06-07,HR,1
AST-5170,Servers,Servers Model Pro-292,419,7104.64,2976843.77,NYC HQ,IN_USE,2024-02-06,IT,1
AST-5171,Network Equipment,Network Equipment Model X-202,233,16365.72,3813213.23,Mumbai Office,IN_USE,2024-01-07,Executive,1
AST-5172,Monitors,Monitors Model A-946,194,6921.07,1342687.58,NYC HQ,IN_USE,2024-03-08,Operations,1
AST-5173,Monitors,Monitors Model Lite-714,138,2580.3,356081.59,NYC HQ,IN_USE,2024-02-24,Compliance,1
AST-5174,Software Licenses,Software Licenses Model B-242,437,12738.59,5566764.6,Singapore DC,DECOMMISSIONED,2024-08-15,HR,1
AST-5175,Peripherals,Peripherals Model B-157,170,8628.17,1466788.44,Mumbai Office,AVAILABLE,2024-11-17,Compliance,1
AST-5176,Monitors,Monitors Model A-657,11,14851.27,163364.02,London Office,IN_USE,2024-09-18,IT,1
AST-5177,Servers,Servers Model A-332,1,16420.32,16420.32,Singapore DC,MAINTENANCE,2024-03-16,Legal,1
AST-5178,Peripherals,Peripherals Model Lite-493,116,16591.61,1924626.89,NYC HQ,MAINTENANCE,2024-03-27,Finance,1
AST-5179,Network Equipment,Network Equipment Model C-465,53,17217.05,912503.64,NYC HQ,DECOMMISSIONED,2024-06-19,Finance,1
