record_id,framework,fiscal_year,quarter,status,controls_total,controls_passed,pass_rate_pct,findings_open,findings_closed,risk_level,auditor,next_review_date,clearance_level
COMP-SOC2-2023-Q2,SOC2 Type II,2023,Q2,PARTIAL,112,90,80.4,16,39,MEDIUM,PwC,2023-08-30,3
COMP-SOC2-2023-Q3,SOC2 Type II,2023,Q3,COMPLIANT,210,174,82.9,17,24,HIGH,KPMG,2023-11-30,3
COMP-SOC2-2023-Q4,SOC2 Type II,2023,Q4,UNDER_REVIEW,120,97,80.8,0,6,HIGH,Internal Audit,2024-02-29,3
COMP-SOC2-2024-Q1,SOC2 Type II,2024,Q1,COMPLIANT,141,136,96.5,9,51,MEDIUM,Internal Audit,2024-05-30,3
COMP-SOC2-2024-Q2,SOC2 Type II,2024,Q2,COMPLIANT,95,89,93.7,11,21,CRITICAL,Internal Audit,2024-08-30,3
COMP-SOC2-2024-Q3,SOC2 Type II,2024,Q3,COMPLIANT,111,110,99.1,1,53,CRITICAL,Deloitte,2024-11-30,3
COMP-SOC2-2024-Q4,SOC2 Type II,2024,Q4,PARTIAL,156,122,78.2,18,52,LOW,EY,2025-03-01,3
COMP-ISO -2022-Q1,ISO 27001,2022,Q1,COMPLIANT,140,127,90.7,18,41,CRITICAL,Internal Audit,2022-05-30,3
COMP-ISO -2022-Q2,ISO 27001,2022,Q2,NON-COMPLIANT,139,137,98.6,11,24,MEDIUM,Internal Audit,2022-08-30,3
COMP-ISO -2022-Q3,ISO 27001,2022,Q3,UNDER_REVIEW,115,112,97.4,12,38,CRITICAL,PwC,2022-11-30,3
COMP-ISO -2022-Q4,ISO 27001,2022,Q4,COMPLIANT,163,126,77.3,16,42,LOW,KPMG,2023-03-01,3
COMP-ISO -2023-Q1,ISO 27001,2023,Q1,PARTIAL,105,85,81.0,4,50,MEDIUM,EY,2023-05-30,3
COMP-ISO -2023-Q2,ISO 27001,2023,Q2,COMPLIANT,103,75,72.8,1,32,LOW,EY,2023-08-30,3
COMP-ISO -2023-Q3,ISO 27001,2023,Q3,COMPLIANT,194,173,89.2,2,28,CRITICAL,Internal Audit,2023-11-30,3
COMP-ISO -2023-Q4,ISO 27001,2023,Q4,PARTIAL,230,167,72.6,17,38,MEDIUM,KPMG,2024-02-29,3
COMP-ISO -2024-Q1,ISO 27001,2024,Q1,NON-COMPLIANT,207,174,84.1,13,33,CRITICAL,EY,2024-05-30,3
COMP-ISO -2024-Q2,ISO 27001,2024,Q2,UNDER_REVIEW,186,135,72.6,5,14,HIGH,PwC,2024-08-30,3
COMP-ISO -2024-Q3,ISO 27001,2024,Q3,PARTIAL,197,185,93.9,4,50,HIGH,Internal Audit,2024-11-30,3
COMP-ISO -2024-Q4,ISO 27001,2024,Q4,COMPLIANT,134,131,97.8,14,35,LOW,PwC,2025-03-01,3
COMP-HIPA-2022-Q1,HIPAA,2022,Q1,NON-COMPLIANT,174,166,95.4,3,43,MEDIUM,Deloitte,2022-05-30,3
COMP-HIPA-2022-Q2,HIPAA,2022,Q2,COMPLIANT,174,137,78.7,18,23,LOW,Internal Audit,2022-08-30,3
COMP-HIPA-2022-Q3,HIPAA,2022,Q3,COMPLIANT,110,93,84.5,11,24,MEDIUM,KPMG,2022-11-30,3
COMP-HIPA-2022-Q4,HIPAA,2022,Q4,COMPLIANT,204,201,98.5,0,55,LOW,PwC,2023-03-01,3
COMP-HIPA-2023-Q1,HIPAA,2023,Q1,NON-COMPLIANT,187,178,95.2,1,24,MEDIUM,PwC,2023-05-30,3
COMP-HIPA-2023-Q2,HIPAA,2023,Q2,COMPLIANT,205,194,94.6,0,12,HIGH,KPMG,2023-08-30,3
COMP-HIPA-2023-Q3,HIPAA,2023,Q3,COMPLIANT,91,78,85.7,13,35,HIGH,KPMG,2023-11-30,3
COMP-HIPA-2023-Q4,HIPAA,2023,Q4,NON-COMPLIANT,195,153,78.5,10,55,MEDIUM,EY,2024-02-29,3
COMP-HIPA-2024-Q1,HIPAA,2024,Q1,UNDER_REVIEW,235,173,73.6,4,53,LOW,Internal Audit,2024-05-30,3
COMP-HIPA-2024-Q2,HIPAA,2024,Q2,UNDER_REVIEW,197,174,88.3,14,47,MEDIUM,PwC,2024-08-30,3
COMP-HIPA-2024-Q3,HIPAA,2024,Q3,UNDER_REVIEW,163,137,84.0,2,56,HIGH,Internal Audit,2024-11-30,3
COMP-HIPA-2024-Q4,HIPAA,2024,Q4,PARTIAL,179,133,74.3,7,30,MEDIUM,Internal Audit,2025-03-01,3
COMP-PCI--2022-Q1,PCI-DSS,2022,Q1,COMPLIANT,193,163,84.5,8,46,LOW,PwC,2022-05-30,3
COMP-PCI--2022-Q2,PCI-DSS,2022,Q2,UNDER_REVIEW,86,64,74.4,18,45,CRITICAL,KPMG,2022-08-30,3
COMP-PCI--2022-Q3,PCI-DSS,2022,Q3,NON-COMPLIANT,111,110,99.1,17,10,LOW,Internal Audit,2022-11-30,3
COMP-PCI--2022-Q4,PCI-DSS,2022,Q4,NON-COMPLIANT,227,221,97.4,1,41,HIGH,PwC,2023-03-01,3
COMP-PCI--2023-Q1,PCI-DSS,2023,Q1,PARTIAL,208,171,82.2,0,12,CRITICAL,Internal Audit,2023-05-30,3
COMP-PCI--2023-Q2,PCI-DSS,2023,Q2,COMPLIANT,84,81,96.4,8,55,LOW,PwC,2023-08-30,3
COMP-PCI--2023-Q3,PCI-DSS,2023,Q3,UNDER_REVIEW,228,208,91.2,14,10,HIGH,Internal Audit,2023-11-30,3
COMP-PCI--2023-Q4,PCI-DSS,2023,Q4,COMPLIANT,182,170,93.4,18,7,MEDIUM,Deloitte,2024-02-29,3
COMP-PCI--2024-Q1,PCI-DSS,2024,Q1,COMPLIANT,191,140,73.3,5,31,LOW,Internal Audit,2024-05-30,3
COMP-PCI--2024-Q2,PCI-DSS,2024,Q2,COMPLIANT,177,167,94.4,8,10,LOW,Deloitte,2024-08-30,3
COMP-PCI--2024-Q3,PCI-DSS,2024,Q3,NON-COMPLIANT,123,90,73.2,9,14,LOW,KPMG,2024-11-30,3
COMP-PCI--2024-Q4,PCI-DSS,2024,Q4,COMPLIANT,119,106,89.1,9,31,CRITICAL,PwC,2025-03-01,3
COMP-CCPA-2022-Q1,CCPA,2022,Q1,COMPLIANT,237,199,84.0,10,16,LOW,Deloitte,2022-05-30,3
COMP-CCPA-2022-Q2,CCPA,2022,Q2,COMPLIANT,179,133,74.3,3,25,LOW,EY,2022-08-30,3
COMP-CCPA-2022-Q3,CCPA,2022,Q3,COMPLIANT,146,107,73.3,12,57,LOW,Deloitte,2022-11-30,3
COMP-CCPA-2022-Q4,CCPA,2022,Q4,COMPLIANT,141,103,73.0,18,20,MEDIUM,Internal Audit,2023-03-01,3
COMP-CCPA-2023-Q1,CCPA,2023,Q1,NON-COMPLIANT,178,170,95.5,3,22,LOW,KPMG,2023-05-30,3
COMP-CCPA-2023-Q2,CCPA,2023,Q2,PARTIAL,221,183,82.8,13,9,MEDIUM,Deloitte,2023-08-30,3
COMP-CCPA-2023-Q3,CCPA,2023,Q3,PARTIAL,139,124,89.2,0,22,HIGH,Internal Audit,2023-11-30,3
COMP-CCPA-2023-Q4,CCPA,2023,Q4,UNDER_REVIEW,105,87,82.9,7,53,HIGH,PwC,2024-02-29,3
COMP-CCPA-2024-Q1,CCPA,2024,Q1,COMPLIANT,225,216,96.0,13,33,LOW,Internal Audit,2024-05-30,3
COMP-CCPA-2024-Q2,CCPA,2024,Q2,COMPLIANT,116,109,94.0,11,39,LOW,PwC,2024-08-30,3
COMP-CCPA-2024-Q3,CCPA,2024,Q3,NON-COMPLIANT,188,168,89.4,17,33,LOW,Deloitte,2024-11-30,3
COMP-CCPA-2024-Q4,CCPA,2024,Q4,PARTIAL,238,201,84.5,9,46,LOW,Deloitte,2025-03-01,3
COMP-NIST-2022-Q1,NIST CSF,2022,Q1,COMPLIANT,203,172,84.7,8,43,MEDIUM,EY,2022-05-30,3
COMP-NIST-2022-Q2,NIST CSF,2022,Q2,COMPLIANT,134,112,83.6,18,58,HIGH,KPMG,2022-08-30,3
COMP-NIST-2022-Q3,NIST CSF,2022,Q3,COMPLIANT,121,108,89.3,17,41,LOW,KPMG,2022-11-30,3
COMP-NIST-2022-Q4,NIST CSF,2022,Q4,COMPLIANT,181,135,74.6,3,58,LOW,Internal Audit,2023-03-01,3
COMP-NIST-2023-Q1,NIST CSF,2023,Q1,COMPLIANT,190,171,90.0,6,44,HIGH,KPMG,2023-05-30,3
COMP-NIST-2023-Q2,NIST CSF,2023,Q2,UNDER_REVIEW,167,151,90.4,8,53,CRITICAL,EY,2023-08-30,3
COMP-NIST-2023-Q3,NIST CSF,2023,Q3,COMPLIANT,142,103,72.5,10,26,LOW,EY,2023-11-30,3
COMP-NIST-2023-Q4,NIST CSF,2023,Q4,NON-COMPLIANT,164,141,86.0,0,49,LOW,Deloitte,2024-02-29,3
COMP-NIST-2024-Q1,NIST CSF,2024,Q1,NON-COMPLIANT,201,177,88.1,0,5,CRITICAL,PwC,2024-05-30,3
COMP-NIST-2024-Q2,NIST CSF,2024,Q2,PARTIAL,222,166,74.8,15,53,MEDIUM,Internal Audit,2024-08-30,3
COMP-NIST-2024-Q3,NIST CSF,2024,Q3,COMPLIANT,99,71,71.7,17,6,CRITICAL,EY,2024-11-30,3
COMP-NIST-2024-Q4,NIST CSF,2024,Q4,UNDER_REVIEW,111,102,91.9,11,57,MEDIUM,Internal Audit,2025-03-01,3
COMP-FEDR-2022-Q1,FedRAMP,2022,Q1,COMPLIANT,179,158,88.3,5,58,CRITICAL,Deloitte,2022-05-30,3
COMP-FEDR-2022-Q2,FedRAMP,2022,Q2,COMPLIANT,198,189,95.5,11,17,MEDIUM,Deloitte,2022-08-30,3
COMP-FEDR-2022-Q3,FedRAMP,2022,Q3,COMPLIANT,85,82,96.5,8,48,CRITICAL,KPMG,2022-11-30,3
COMP-FEDR-2022-Q4,FedRAMP,2022,Q4,COMPLIANT,103,77,74.8,9,56,CRITICAL,PwC,2023-03-01,3
COMP-FEDR-2023-Q1,FedRAMP,2023,Q1,COMPLIANT,206,177,85.9,11,7,MEDIUM,EY,2023-05-30,3
COMP-FEDR-2023-Q2,FedRAMP,2023,Q2,UNDER_REVIEW,235,192,81.7,6,5,LOW,EY,2023-08-30,3
COMP-FEDR-2023-Q3,FedRAMP,2023,Q3,COMPLIANT,151,129,85.4,18,37,MEDIUM,PwC,2023-11-30,3
COMP-FEDR-2023-Q4,FedRAMP,2023,Q4,NON-COMPLIANT,129,115,89.1,18,48,CRITICAL,Internal Audit,2024-02-29,3
COMP-FEDR-2024-Q1,FedRAMP,2024,Q1,NON-COMPLIANT,124,95,76.6,2,42,LOW,Deloitte,2024-05-30,3
COMP-FEDR-2024-Q2,FedRAMP,2024,Q2,COMPLIANT,146,110,75.3,18,59,LOW,Internal Audit,2024-08-30,3
COMP-FEDR-2024-Q3,FedRAMP,2024,Q3,UNDER_REVIEW,150,109,72.7,6,59,CRITICAL,Deloitte,2024-11-30,3
COMP-FEDR-2024-Q4,FedRAMP,2024,Q4,UNDER_REVIEW,216,163,75.5,8,48,HIGH,EY,2025-03-01,3
